start	end	text
1381580	1384140	그러니까 빨리 가면 혼자 가는 거고
1384140	1385180	다 같이 데려가면
1385180	1385940	늦게 가는 거야.
1385940	1387660	그건 어쩔 수 없는 하나의
1387660	1388300	친구 같아.
1388300	1390140	그래서 나한테 이거 얘기하는 거야.
1390140	1392020	빨리 가대, 가대
1392020	1393660	사람들은 대구 갔으면 좋겠다라고
1393660	1395660	나한테 얘기를 하는 거야.
1395660	1397420	근데 이게 너무 힘들어.
1397420	1398420	그렇죠.
1398420	1400940	그러면 차라리 형이
1400940	1405580	한 10명 정도의 헤드 카운트를 달라그르세요.
1405580	1409540	그래서 형의 군대를 만들어서
1409540	1410340	그런 식으로 가야지.
1410340	1412340	안 그러면 기존에 있는 사람을
1412340	1415140	바꾸기는 진짜 쉽지 않은 것 같아요.
1415140	1417500	이게 모든 워라크리에 있을 때도
1417500	1420780	워라크리 디자인은 그거 바꾸기 위해서
1420780	1424540	진짜 되게 많은 사람들이 바뀌었어요.
1424540	1426260	나가고 들어오고 하는 게
1426260	1428460	사람이 바뀌지 않으면은
1428460	1429300	안 바뀌는 것 같아요.
1429300	1431300	걸쳐야 할지는.
1431300	1432180	맞아, 맞아, 맞아.
1432180	1434900	그리고 특히 디자이너들이 사실
1434900	1436100	되게 고지식하더라고.
1436100	1437700	고지기 쎄더라고.
1437700	1438700	그렇죠.
1438700	1440100	나는 디자이너가 되게 오픈 마인드
1440100	1441740	그 막 걸 줄 알았는데 사실
1441740	1445380	덜 그런 것 같다는 느낌이 되게 들더라고.
1445380	1448140	아닌 사람들이 많셔도 오히려
1448140	1451540	형은 약간 영역을 왔다 갔다 하셨잖아요.
1451540	1454020	PM도 하시고 엔지니우도 하시고
1454020	1456700	뭐 있으니까 그런 마인드가 있는데
1456700	1459700	진짜 디자인만 하는 친구들은
1459700	1462420	예식지 않죠.
1462420	1463740	OK, 모습 나는 그래.
1463740	1465980	그래가지고 나도 이제 포트플리오
1465980	1467100	같은 것도 만들어 놓고.
1467100	1470220	근데 사실 웹퀸이션도 되게 많이 바꾸고
1470220	1471820	칭찬도 많이 바꾸고
1471820	1472580	그렇기는 해.
1472580	1475300	근데 내가 내 생각에는
1475300	1479700	I'm out growing the system이라고 생각을 해.
1479700	1481340	그래서 더 이상 내가 하고 내가
1481340	1484020	이룰을 하고 이런 것들이
1484020	1486660	시스템이 나를 받쳐줄 수 없고
1486660	1488900	나를 더 돋보이게 해 줄 수 없는
1488900	1490700	시스템이 그나라는 걸 좀 벽을
1490700	1493260	좀 느끼고 있어 지금 사실은.
1493260	1496540	그러면 형은 다음 만약에 스텝으로
1496540	1498820	생각하면 더 작은 데리가고 싶으세요.
1498820	1501940	아니면 이걸 약간 받쳐주는데
1501940	1505140	해서 좀 확 날개를 피고 싶으세요.
1505140	1506540	나는 엔트로픽 들어가가지고
1506540	1508940	아이표할 때 그냥 수 딱 많이 바꾸고 싶지
1508940	1510340	당연히.
1510340	1512940	근데 뭐 나는 사실 그거야.
1512940	1514300	나는 내 미션이 딱 있어.
1514300	1515660	미션이 뭐냐면 나는 내가 지금까지
1515660	1518100	좋아하는 게 뭐냐면 코치도 하고
1518100	1519380	축구 코치도 하고
1519380	1521500	내가 같은 것들을 하면서
1521500	1523460	내가 누구도 못하는 사람
1523460	1524900	뭐 그거 맨둔 것 같고
1524900	1526380	인플란스
1526380	1528500	이게 뭐냐면
1528500	1531220	희망 포텐셜 리 그 사람이
1531220	1532900	정말 그거는 미치할 수 있게끔
1532900	1534500	도와주는 거 되게 좋아하는 것 같아.
1534500	1536220	아 그러네요.
1536220	1537500	그 다음에 그러니까
1537500	1540180	많은 사람들이 자기가 희망 포텐셜이
1540180	1541740	있는데 시스템이 별로 안 좋아
1541860	1543380	안 좋은 상태에 있어서
1543380	1545940	그걸 많이 못 발휘하는 경우가 되게 많은 것 같거든.
1545940	1548740	그래서 나는 AI 틀로서
1548740	1550820	사람들이 자기가 하고 싶지 않은 것들을
1550820	1552020	AI가 다 해주고
1552020	1553620	그 대신 자기가 하고 싶은 걸
1553620	1554900	할 수 있게끔 해주는
1554900	1556660	툴들을 되게 좀 만들고 있는 것 같기는
1556660	1558620	SAP에서 지금
1558620	1561580	그래서 그거를 조금 잘해 줄 수
1561580	1565220	요거를 좀 요거가 맞는 회사에 들어가고 싶기는 해
1565220	1566700	그게 뭐지가 됐든지
1566700	1567900	근데
1567900	1569700	모든 AI가 사는 다 거잖아.
1569700	1570660	근데 그게
1572420	1575020	다시 나와서 창업하고 싶을 생각은 없어요?
1577260	1578420	오히려 더 적기 있고
1578420	1579860	아 그래
1579860	1581220	그거는 어쩔 수 안 돼
1581220	1582860	왜 와이프가 죽이려고 그럴까?
1583980	1584900	그래서 뭐
1584900	1585980	그렇지 그렇지
1585980	1586980	잘 나가시잖아요
1587980	1588980	우리 와이프?
1588980	1590540	나 우리 와이프도 내가 괜찮아 그랬어
1590540	1592460	너 굉장히 위험하다고 지금
1592460	1593460	아 그래?
1593460	1595140	너도 빨리 그 뭐냐 AI로
1595180	1597700	카운팅 플레이트 스페리에서
1597700	1600300	빨리 카운터트 빨리 한 5명 정도 없애는
1600300	1602420	이 플렉트스를 만들어서
1602420	1603580	다른 회사에
1603580	1605100	다른 회사에 들어갈 때
1605100	1607260	나는 이 패션 씨라 이런 거 했었다고 하긴
1607260	1609100	사람들이 더 되게 좋아할 거라고
1609100	1610340	빨리 그거 하라고
1610340	1611860	오늘 매일 좀 많이 시키라고
1611860	1612980	근데
1612980	1615660	카운팅 쪽이 또 덜 발달됐더라고
1615660	1616940	또 AI야
1616940	1617940	그
1617940	1621420	finance나 이쪽은 더욱로 저 텍스 쪽이나
1621420	1622900	넘버가 되게 중요한 애들이니까
1622900	1624700	얘네들은 채널이 틱한 게 아니고
1624700	1627140	되게 데쳐 미니 스타범이 이거 있잖아요
1627140	1628740	그래서 뭐
1628740	1629940	뭐 받쳐주기는 하는데
1629940	1632540	스타트업은 별로는 것 같아
1632540	1633740	나는 왜냐하면
1633740	1635420	회사에 비 들어와서 돈 뭘 다 보니까
1635420	1637380	가족들이랑 여행하고
1637380	1638660	신경 안 쓰고 먹고 싶은 거 먹고
1638660	1640140	그러니까 너무 행복해 그래서
1640140	1640660	아
1642660	1645180	그거는 진짜 부정할 수 없다
1645180	1645980	근데
1645980	1647420	조금 무섭기는 해
1647420	1650620	오늘 같은 경우도 이거 만들어 놓고 보니까
1650620	1652620	이제는 내가 잘려도
1652620	1654620	얘네들이 사실 눈 깜짝 안 할 수도 있겠네
1654620	1656620	라는 생각이 듭니다
1656620	1658620	그래서
1658620	1659620	빨리 뭐냐
1659620	1660620	느끼전에
1660620	1663220	사이드로 어떻게 들은 돈이 좀 둘러갈 수 있는
1663220	1665220	엔진을 하나 만들어 놓고 싶기는 한데
1665220	1667220	그게 맞춰면 그게 신냐
1667220	1669220	또 그래서
1669220	1670220	그거
1670220	1672220	사실 그 엔진을 만들어 놓는 게 넘버 원인 것 같아
1672220	1673220	나는 지금
1673220	1674220	그쵸
1674220	1675220	그게
1675220	1677460	그쵸 모든 테크 사람들이
1677460	1679460	원하는 건데
1679460	1680460	그래서
1680460	1681460	그래서
1681460	1682460	지금 내가 갖고 있는 플러스 트위션을
1682460	1684460	지금 링틴에 올려놓고
1684460	1685460	라이크를 받으므로서
1685460	1687460	지금 해서 하고 있는 것 같긴 해
1689460	1691460	형 그 한국 갈 때 저도 한국이 있어요
1691460	1692460	같이
1692460	1693460	뭐 만약에
1693460	1694460	지금 되면
1694460	1695460	그
1695460	1696460	뭐냐
1696460	1697460	판
1697460	1698460	두 개 정도
1698460	1699460	뭐냐
1699460	1700460	그
1700460	1701460	엄상훈 님 있잖아
1701460	1702460	지금 케이크로 회장하시는 분
1702460	1703460	네
1703460	1706460	그 분이 뭐 하나 하자고 연락이 왔거든
1706460	1708460	근데 아는 디자이너 있으면
1708460	1709460	같이 하자고 했으니까
1709460	1711460	혹시 관심 있으면
1711460	1713460	그냥 너 오늘 그냥 와가지고 한 10분 동안
1713460	1714460	얘기하면 될 것 같아
1714460	1715460	어
1715460	1716460	저는 뭐 감사하죠
1716460	1717460	네
1717460	1718460	어
1718460	1720460	그런 거랑 상관없어도 뭐 커피체만
1720460	1722460	해주고 괜찮습니다
1722460	1724460	아니야 커피체사기에는
1724460	1726460	한 사람을 만나기에는 너무 갚고 이제
1726460	1727460	아 그래요?
1727460	1728460	아 그럼 그냥
1728460	1730460	에이전트 한 명만 보내주세요
1730460	1731460	그래
1731460	1732460	그래 너랑 같이 한 다음에
1732460	1735460	같이 하고 고기고 먹고 소주 마시는 게 좋을 것 같아
1735460	1736460	아 알겠습니다
1736460	1737460	그래
1737460	1740460	고마워
1740460	1741460	다음에 또 연락해
1741460	1742460	네 들어가세요
1742460	1743460	네
